"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_mediterranea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii",0,0.00672,0,0.00015,0.01042,0.00083,0,0,0.00807,0,0,0.01876,0,0,0,0,0,0,0.02125,0.00362,0.01018,0,0.01053,0.00055,0,0,0.00141,0,0,0.00062,0,0.00455,0,0,0,0,0,0,0.00024,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris",0.00152,0,0.01945,0.00253,0,0.0012,0.0567,0.02261,0.00232,0.00103,0,0.01212,0.01607,0,0.07549,0,0,0.00444,0.02988,0.00116,0.02002,0,0.05281,0.00375,0,0.00478,0.0091,0,0.00857,0.12418,0.05165,0.00297,0.00769,0.00036,0.00635,0.00782,0.00182,0.00085,0.06628,0,0.00668,0.04674
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17132",0,0,0.0025,0.00037,0,0,0.00059,0.00075,0.00212,0,0,0.02749,0,0,0.0034,0,0,0.00051,7e-04,0,0.00472,0,0.00884,0,0,0,0,0,0,0.00289,0.002,0,0.00228,0,0,0.0086,0,0.00025,0,0,0.00885,0.00989
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMT897",0,0,0,0,0.00235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00211,0,0,0,0,0,0,0.00194,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47",0,0.00021,0.06935,0.00553,0.00318,0.0021,0.00336,0.00271,0.01045,0,0,0.05906,0.00485,0,0.00421,0.00249,0,0.04548,0.02292,0.00449,0.05057,0.00287,0.12103,0.00676,0,0,0.01186,0,0.00241,0.13045,0.01689,0.02729,0.07776,0,0.00368,0.01153,0,0,0,0.00102,0.06279,0.12013
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448",0,0,0.00177,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0.017,0,0.01449,0,0.0049,0.00555,0,0,0,0,0,0.05197,0.0186,0,0.00457,0.00232,0.00276,0,0,0,0.0302,0,0,0.00261
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ph3",0,0,0.00062,0,0,0,0,0,0.00319,0,0,0.01057,0,0,0.0116,0,0,0,0.01439,0,0.01678,0.00237,0,0,0,0,0,0,0.00102,0.01173,0.00313,0,0.00124,0,0,0.00475,0,0,0.01661,0,0.0015,0.00465
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum|s__Actinotignum_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__GGB9832|s__GGB9832_SGB15478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046,0,0,0,0,0,0,0,4e-05,0,0,0.05255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_SGB15488",0,0,0,0,0,0,0,0,0,0,0,0,0.00435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_hongkongensis",0,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0.00058,0,0,0,0.00753,0,0.02231,0,0.00015,0.00037,0,0,0,0,0,0.01494,0.00368,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Peptidiphaga|s__Peptidiphaga_gingivicola",0,0,0,0,0,0,0,0,0,0,0,0,0.0139,0.00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01011,0.00723,0,0.00418,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Peptidiphaga|s__Peptidiphaga_SGB15895",0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0.00495,0,0,0,0,0,0,0,0,0.00033,0,0,0.00159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_cardiffensis",0,0,0,0,0.00093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189,0,0,0,0,0,0.00929,0.00058,0,0,0.00014,0.00227,0,0,0,0.00167,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_georgiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218,0,0,0,0,0,0,0,0,0.00124,0,0,0,0,0,0.00059,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_meyeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00321,0,0,0,0,0,0.00115,0,0.0144,0.00153,0,0,0.00127,0,0.00317,0.01192,0.00208,0,0,0,0,0,0,0,0,0,0.00431,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_odontolytica",0.00409,0,0.00236,0.03065,0,0.02055,0.03334,0.00999,0,0,0.0053,0.01354,0.00357,0,0.15854,0.00062,0.0055,0.01245,0,0.02199,0,0.01018,0,0.00215,0.00314,0.02318,0,0,0.05147,0.29539,0.04849,0,0,0,0,0.00377,0,0.00037,0,0.01088,0.06264,0.00348
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_SGB17153",0,0,0,0,0,0,0,0,0,0,0,0,0.02545,0,0,0,0,0,0.0915,0,0.04322,0,0,0,0,0,0,0,0.00974,0.07417,0.01811,0,0.00119,0,0,0,0,0,0.12294,0,0.00723,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_SGB17154",0,0,0.02735,0.00365,0,0.00157,0,0,0,0,0,0,0,0,0,0.01324,0,0.01098,0.00598,0,0.00643,0,0,0,0,0,0,0,0,0.14405,0.02401,0,0.00862,0,0,0,0,0,0,0,0.05916,0.01242
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_SGB17157",0.02157,0,0.00765,0,0,0,0.00104,0.00061,0.00106,0.00104,0,0.00597,0,0.00461,0,0,0.0042,0,0,0.00445,0,0,0.16276,0,0,0.00076,0.01387,0,0.00116,0,0,0,0.00987,0.00333,0.01129,0.00258,0,0,0,0.00899,0.03426,0.04325
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_SGB17158",0,0.00168,0.00159,0,0.00483,0,0,0,0,0,0,0.00316,0,0,0.01404,0,0.00104,0,0,0.00391,0,0,0,0,0,0.00956,0,0,0,0.0028,0,0.00105,0.00699,0,0,0.01571,0.00142,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_SGB17168",0.02158,0,0.00843,0,0,0,0.01461,0.01426,0.00353,0,0.00272,0.04319,0,0,0,0,0,0,0,0.00163,0,0.00629,0.29049,0.00019,0,0,0.01602,0,0,0.00208,0,0,0,0.0047,0.03084,0.00965,0,0,0,0.01285,0.06532,0.11542
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_turicensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02628,0,0,0,0,0,0,0,0,0,0,0,0.00461,0,0.00852,0,0,0.74012,0,0,0,0,0,0.00506,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens",0,0,0.00068,0,0,0.00061,0,0,0.00645,0,0,0.0079,0,0,0.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02714,0.00024,0,0.00095,0,0,0,0,0,0.02895,0,1e-04,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis",12.3061,0,33.05874,3.76113,0.0114,3.71651,0,0,0,0.10409,0,0,0,4.10042,0.34081,2.22903,7.63262,0.6867,1.38298,17.89044,0.18614,0,0,0,10.54978,10.62762,0,0,0,1.93381,1.0846,0,3.46392,0.72176,0,0.29528,0,0,0,1.14502,3.75011,3.7577
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis",0.98116,0,0,0.01683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503,0.24938,0.00175,0,0,0.01602,0,0,0.33749,0,0,0,0,0,0,0,0,0,0.00617,0,0,0.0039,0,0,0.01175
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum",0,0,2.46009,0,0,0,0,0,0,0.00376,0,0,0.28049,5.20505,0,0,5.73496,0,0.15259,3.89109,0,0,0,0,0,0,0,0.01072,0,0,0,2.22314,0,0.88814,0.02883,0,0,0,3.52,0,0.00048,1.28964
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve",0,0,0,0,0,0,0,0,0,0,0,0,0.03527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02585,0,0,0,0,0.0043,0,0,0.00516
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium",0,0,0,0.00638,0,0.00735,0.0327,0,0,0,0,0,0.04466,0,0,0.01121,0,0,0.05283,0.01123,0,0,0.00153,0.02996,0,0,0,0,0.00876,1.67478,0.14414,0,0,0.00303,0,0,0.04734,0,0.05527,0,0.0012,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",0.14303,9.68294,1.19406,1.81598,3.97737,0.24855,0.32924,0.03116,0.00807,0.13857,0,0.003,0.97388,0.78244,0.35177,0.43754,0.4118,0.45565,0.98241,1.14031,0.00136,0,0,2.45939,0.70627,0.87992,0,0,0.39076,1.79178,1.69237,0.23142,0.11197,0.46775,0.0094,0.56764,4.38658,1.61378,2.14134,4.75714,1.83316,1.58305
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum",0,11.11892,4.84064,0,4.73932,0,0.00359,0,0.02283,0.63951,4.52722,0.02962,0.14695,2.06702,0.1102,0.45143,1.00937,0.09374,9.08504,3.62209,0.09914,0.30505,0,0,0.2945,0.62167,0,0,0,9.0106,2.76866,7.95564,0.45043,8.82081,0.34891,0.03102,12.41642,5.20235,0.92333,0,0.66347,1.77266
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239,0,0,0,0,0,0,0.02547,0.00482,0,0,0,0,0,0,0,0.02339,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae",0,0,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01152,0,0,0,0,0,0,0,0,0.00846,0,0,0.00021
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_aurimucosum",0,0,0,0,0,0,0,0,0,0,0,0,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum",0,0,0.00456,0.00279,0.00067,0.00089,0,0,0.00184,0,0,0.00804,8e-04,0.0011,0,0,0.00062,0.00025,0.00258,0.00263,0.00158,0.00051,0.02478,0,0,6e-05,0.00318,0,0,0.00897,0.00346,0.00704,0,0,0.00272,0,0,0,0.00018,0,0,0.009
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter|s__Leucobacter_sp_Psy1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria",0,0,0,0,0,0,3e-04,0.00182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041,0,0,0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0.00211,0.0011
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa",0.00437,0,0.00081,0.01061,0.03516,0.00666,0.08005,0.22679,0.00121,0,0,0.02204,0,0,0.01398,0.00162,0.00197,2e-04,0.02764,0.00113,0,0,0.00603,0.00067,0,0.00287,0,0,0,0.02625,0.00926,0,0.0089,0.00023,0.03065,0.09375,0,0,0.02015,0.00211,0.07728,0.00433
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_SGB49305",0.00129,0,0,0,0,0,0.00849,0.00298,0,0,0,0,0,0,0.00183,0,0,0,0.00298,0,0,0,0.00373,0,0,0,0,0,0,0.04362,0.0073,0,0.00281,0,0.00273,0,0,0,0.01556,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Arachnia|s__Arachnia_propionica",0,0,0,0,0.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0,0,0.00222,0,0,0,0,0,0,0,0,0,0,0,0,0.00048,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Arachnia|s__Arachnia_rubra",0,0,0,0,0.00171,0,0,0,0,0,0,0,0,0.00613,0,0,0,0,0.00185,0,0,0,0.00019,0,0,0,0,0,0,0,0,5e-04,0,0,0,0.02297,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Arachnia|s__Arachnia_SGB15898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acidifaciens",0,0,0,0,0,0,0.00153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0,0,0,0.00192,0,0,0.0097,0.00721,0,0,0,0,0,0,0,5e-04,0,0.00187,0.00014
"k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107|g__GGB34797|s__GGB34797_SGB14321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6231,0,0.06937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07113,0,0,0,0,0.48319,0
"k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107|g__GGB34797|s__GGB34797_SGB14322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032,0.23193,0,1.3622,0,0,0,1.53234,0.2605,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB9411|s__GGB9411_SGB14764",0,0,0,0.25977,0,0.22663,0,0,0,0,0,0,0,0,0,1.10688,0,0.0605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24119,0
"k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB9412|s__GGB9412_SGB14770",0,0,0,0,0,0,0,0,0,0.06058,0,0,0,2.85849,0.01901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279,0.00123,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__CFGB77156|o__OFGB77156|f__FGB77156|g__GGB9421|s__GGB9421_SGB14789",0,0,0,0.0731,0,0.00969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988|f__FGB77988|g__GGB9359|s__GGB9359_SGB14334",0,0,0,0,0,0,0,0,0,0.05941,0,0,0,2.06006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23515,0.29823,0.02087,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988|f__FGB77988|g__GGB9361|s__GGB9361_SGB14336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12455,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988|f__FGB77988|g__GGB9364|s__GGB9364_SGB14339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18435,0,0,0.60041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_deltae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Lancefieldella|s__Lancefieldella_parvula",0,0,0.00607,0,0,0,9e-04,0,0.00271,0,0,0.03347,0,0,0.00893,0.00035,0,0.00137,0.00278,0,0.00126,0,0.0045,0.00649,0,0,0,0,0,0.02413,0.00963,0,0.00831,0,0,0.00413,0,0,0.00304,0,0.0264,0.01186
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Lancefieldella|s__Lancefieldella_rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069,0,0,0,0,0,0,0.00027,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_phocaeensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_profusa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-05,0,0,0,0,0,0,0,0,0,0,0.00048,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_sp_oral_taxon_807",0,0,0.00089,0,0.00189,0,0,0,0,0,0,0,0,0.00209,0,0,0,0,0.00237,0.00083,0.00816,0.00059,0.00527,0.00855,0,0.00039,0.00013,0,0,0.00654,0.00111,0,0.0024,0,0.00026,0,0,0,0,0,0.00237,0.00239
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_uli",0,0,0,0,0,0,0,0,0,0,0,0,0.00029,0,0,0,0,0,0,0.00379,0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0,0,0,0,0,0.00224,0,0,0
