"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Bacteria|p__Firmicutes|c__CFGB1261|o__OFGB1261|f__FGB1261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02062,0,0,0,0,0,0,0,0,0,0,0.00592,0,0,0.00556,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1262|o__OFGB1262|f__FGB1262",0.04355,0,0,0.02602,0,0.00092,0,0,0,0.00199,0.04033,0,0,0.02014,0.01919,0,0.01815,0,0,0.02892,0,0.03446,0,0,0,0,0,0,0.03941,0,0,0,0,0,0,0,0,0,0,0.01891,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292|f__FGB1292",0,0,0.02477,0,0,0,0.02733,0.13813,0.0809,0.08087,0,0.06225,0.11556,0.05161,0.04403,0,0.03817,0,0.09741,0.091,0.09703,0.0425,0.08602,0.03902,0.11638,0.05958,0.04988,0.04046,0.00094,0.07395,0,0.01342,0,0.14433,0.02563,0,0.03322,0.04102,0.00036,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1298|o__OFGB1298|f__FGB1298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03052,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1303|o__OFGB1303|f__FGB1303",0,0,0,0,0,0,0,0,0,0,0.00307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311|f__FGB1311",0,0,0,0.07793,0,0.11868,0,0,0,0.04402,0,0,0,0.03823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325|f__FGB1325",0,0,0,0.2096,0,0.05069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00256,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1333|o__OFGB1333|f__FGB1333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1347|o__OFGB1347|f__FGB1347",0,0,0,0.022,0,0.02312,0,0,0,0,0.01091,0,0,0,0.04636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00727,0.00304,0.07009,0,0,0,0,0,0,0,0,0,0.00526,0
"k__Bacteria|p__Firmicutes|c__CFGB13532|o__OFGB13532|f__FGB13532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354|f__FGB1354",2.45657,0,0,0.18864,0,0.01097,0,0,0,1.1855,0.01708,0,2.15794,3.93198,1.19659,0,2.0742,0,0,0.64105,0,0.0335,0,0,0,0,0,0,3.39256,3.89121,1.19986,0,0,0,0,1.03708,0,0,0,0.13393,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1355|o__OFGB1355|f__FGB1355",0,0,0,0,0,0,0,0,0,0,0.13787,0,0,0,0.02491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02235,0,0,0,0,0.09598,0
"k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359",0.15418,0,0,0.02123,0,0.03124,0,0,0,0,0.00824,0,0.00719,0,0.07528,0,0.02192,0,0,0.07853,0,0,0,0,0,0,0,0,0.13533,0.03619,0.00642,0,0,0,0,0,0,0,0.01174,0.04308,0.00778,0
"k__Bacteria|p__Firmicutes|c__CFGB1362|o__OFGB1362|f__FGB1362",0,0,0,0,0,0,0.00724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1374|o__OFGB1374|f__FGB1374",0.08087,0,0,0.01489,0,0,0,0,0,0,0.00203,0,0,0,0.00992,0,0,0,0,0,0,0.00147,0,0,0,0,0,0,0.07844,0.01814,0.01267,0,0.01115,0,0,0,0,0,0,0.05486,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380|f__FGB1380",0,3.28988,0,0.06569,4.88056,0.81204,0,0,0.18371,0,0.30965,0.04454,0,0.00259,0,0,0,0,0,0,0,0.61196,0,0,0.67308,0.23089,0,0,0.36812,0,0,0,0.14011,0.33656,0.09701,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB14224|o__OFGB14224|f__FGB14224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124,0,0,0,0,0,0,0,0,0,0,0.00286,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1425|o__OFGB1425|f__FGB1425",0,0,0,0.07866,0,0.05024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058,0,0,0,0,0,0,0,0,0.14714,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473|f__FGB1473",0,0,0,0,0,0,0,0,0,0,0.17012,0,0,0,0,0.17961,0,0.09501,0,0,0,0.10478,0,0.3376,0,0,0,0,0.29487,0.04145,0.06052,0,0.24961,0,0,0.2064,0,0,0,0,0.19767,0
"k__Bacteria|p__Firmicutes|c__CFGB1479|o__OFGB1479|f__FGB1479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936",0,3.89401,1.52209,0,5.78718,0,0,0,0,0,0.40166,0,0,0,1.60956,0,0,0,0,0,0,3.30666,0,0,0,0,0,0,1.44719,3.17754,1.93558,0,8.52104,0,0,0.05674,3.72974,3.21145,0,0,0.01187,5.60125
"k__Bacteria|p__Firmicutes|c__CFGB15212|o__OFGB15212|f__FGB15212",0.12848,0.19903,0,0.07534,0.12341,0.11089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07062,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1538|o__OFGB1538|f__FGB1538",0,0,0,0,0,0,0,0,0,0,0,0,0,0.04314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB16518|o__OFGB16518|f__FGB16518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB16911|o__OFGB16911|f__FGB16911",0,0,0,0.0058,0,0,0,0,0,0,0,0,0,0,0.03249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01161,0,0,0,0.03617,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765",4.59184,0,0,5.58018,1.32584,4.14446,0,0,0,0,11.94038,0,0.00029,0.01337,4.61064,0,0,0,0,0,0,1.7024,0,0,0,0,2.52771,0,0.72294,1.02813,4.18026,0,0,0,0,0,0,0,0,0.2604,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776|f__FGB1776",2.31155,0,0,0,0,0,0,0,0,0,0.26649,0,7.26334,0,6.4611,0,0,0,0,0,0,0.15265,0,0,0,0,0,0,0.363,2.0902,0.00941,0,0,0,0,0.02529,0,0,0,0.11067,0.04351,0
"k__Bacteria|p__Firmicutes|c__CFGB1777|o__OFGB1777|f__FGB1777",0,0,0,0,0,0,0,0,0,0,0.84034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1778|o__OFGB1778|f__FGB1778",0,0,0,0,0,0,0,0,0,0,0.20584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1779|o__OFGB1779|f__FGB1779",0,0,0,0,0,0.1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1780|o__OFGB1780|f__FGB1780",0,0,0,0.25586,0,0.02297,0,0,0,0,0.19489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,0,0,0.0764,0
"k__Bacteria|p__Firmicutes|c__CFGB1838|o__OFGB1838|f__FGB1838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08125,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1872|o__OFGB1872|f__FGB1872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01579,0,0.00575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00371,0
"k__Bacteria|p__Firmicutes|c__CFGB2831|o__OFGB2831|f__FGB2831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135,0,0,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834|f__FGB2834",0,0,0,0,0,0,0,0,0,0.00516,0.00261,0,0.09819,0,0,0,0.00375,0,0,0.03446,0,0.00164,0,0,0,0,0,0,0.00664,0.01561,0.00176,0,0,0,0,0,0,0,0,0.00409,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2837|o__OFGB2837|f__FGB2837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2875|o__OFGB2875|f__FGB2875",0,0,0,0,0,0,0,0,0,0.01561,0.06233,0,0,0.01016,0,0,0,0,0,0,0,0.01595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB28775|o__OFGB28775|f__FGB28775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08562,0,0,0,0,0,0,0,0,0,0,0,0,0.03255,0.0315,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2881|o__OFGB2881|f__FGB2881",0.02548,0,0,0.00717,0,0.00564,0,0,0,0,0.01155,0,0.00759,0,0.00656,0.07595,0,0.01979,0,0,0,0.00716,0,0,0.0142,0,0,0,0.01431,0.00615,0.01673,0,0.00086,0,0,0,0,0,0,0.00486,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2889|o__OFGB2889|f__FGB2889",0.12643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06518,0.12916,0,0,0,0,0,0,0,0,0.5099,0.00304,0
"k__Bacteria|p__Firmicutes|c__CFGB2890|o__OFGB2890|f__FGB2890",0,0,0,0,0,0,0,0,0,0,0,0,0.03413,0,0,0,0.01484,0,0,0.01892,0,0,0,0,0,0.00749,0,0,0.00138,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2898|o__OFGB2898|f__FGB2898",0,0,0,0,0,0,0,0,0,0.00049,0.00082,0,0,0.01634,0,0,0.02981,0,0,0.0269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2906|o__OFGB2906|f__FGB2906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113
"k__Bacteria|p__Firmicutes|c__CFGB2915|o__OFGB2915|f__FGB2915",0.01037,0,0,0.00136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01378,0,0,0.0607,0,0,0,0,0,0,0,0,0,0,0.00241,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2917|o__OFGB2917|f__FGB2917",0,0,0,0,0,0,0,0,0,0,0.00769,0,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918|f__FGB2918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00338,0,0,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2921|o__OFGB2921|f__FGB2921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2930|o__OFGB2930|f__FGB2930",0.14619,0,0,0.00268,0,0.00096,0,0,0,0,0.00183,0,0,0,0.00327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01917,0,0.01087,0,0,0,0,0,0,0,0,0.02139,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932|f__FGB2932",0,0,0,0.00656,0,0.00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061,0,0,0,0,0,0,0,0,0,0,0.02274,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2937|o__OFGB2937|f__FGB2937",0,0,0,0.02946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2947|o__OFGB2947|f__FGB2947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2949|o__OFGB2949|f__FGB2949",0,0,0,0.04467,0,0.00425,0,0,0,0,0.05333,0,0,0,0.01025,0,0,0,0,0,0,0.00381,0,0,0,0,0,0,0,0.00954,0.02255,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2950|o__OFGB2950|f__FGB2950",0,0,0,0,0,0,0,0,0,0.00238,0,0,0,0.00101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00138,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2952|o__OFGB2952|f__FGB2952",0.00658,0,0,0.05326,0,0.01212,0,0,0,0,0.12111,0,0,0,0.03342,0,0,0,0,0,0,0.01257,0,0,0,0,0,0,0.10555,0,0,0,0,0,0,0,0,0,0,0.00333,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954|f__FGB2954",0,0,0,0.00168,0,0.00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2957|o__OFGB2957|f__FGB2957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2959|o__OFGB2959|f__FGB2959",0.00357,0,0,0,0,0,0,0,0,0,0.0089,0,0.00079,0,0,0,0.003,0,0,0.0085,0,0.00227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-05,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960|f__FGB2960",0,0,0,0.03701,0,0.00621,0,0,0,0.0208,0.09511,0,0,0.0685,0.03988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01283,0.0823,0.02361,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982",0.12499,0,0,0.20012,0,0.00586,0,0,0,0,0.01398,0,0,0.02713,0.0028,0,1.56468,0,0,3.40544,0,0.00068,0,0,0,0,0,0,4.07449,0,0,0,0,0,0,0,0,0,0,0.87415,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2983|o__OFGB2983|f__FGB2983",0,0,0,0.00391,0,0,0,0,0,0,0.02092,0,0,0,0,0,0.00409,0,0,0.06117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2984|o__OFGB2984|f__FGB2984",0.90384,0,0,0.21954,0,0,0,0,0,0,0.02151,0,0,0,0.63164,0,0,0,0,0.51819,0,0.00675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27728,0.04115,0
"k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985|f__FGB2985",0.04164,0,0,0.10636,0,0,0,0,0,0,0,0,0,0,0.00829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00193,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2997|o__OFGB2997|f__FGB2997",0.00211,0,0,0.00142,0,0,0,0,0,0,0,0,0,0,0,0.03219,0,0.0027,0,0.0071,0,0,0,0,0,0,0,0,0.00059,0,0.01053,0,0,0,0,0,0,0,0,0.00355,0.01465,0
"k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004|f__FGB3004",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0,0,0.00032,0,0,0.00493,0,0,0,0,0,0,0,0,0,0.00069,0.00096,0,0,0,0,0,0,0,0.01385,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3009|o__OFGB3009|f__FGB3009",0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0.00032,0,0,0,0,0,7e-05,0,0,0,0,0,0,0,0,0,0.0236,0,0,0,0,0,0,0,0,0.0168,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96435,0.98967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023|f__FGB3023",0.08499,0,0,0.09365,0,0.07109,0,0,0,0.00726,0.01866,0,0,0.04804,0.01735,0.00103,0.01201,0.00221,0,0.00275,0,0.00417,0,0,0.09684,0.01412,0,0,0.03894,0.02254,0.00802,0,0,0,0,0,0,0,0,0.03431,0.0112,0
"k__Bacteria|p__Firmicutes|c__CFGB3026|o__OFGB3026|f__FGB3026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01521,0
"k__Bacteria|p__Firmicutes|c__CFGB30287|o__OFGB30287|f__FGB30287",0.01228,0,0,0,0,0,0,0,0,0,0.00433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01111,0,0,0,0,0,0,0,0,0,0,0.00221,0,0
"k__Bacteria|p__Firmicutes|c__CFGB30328|o__OFGB30328|f__FGB30328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078,0.0024,0,0,0,0.01667,0.00535,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038|f__FGB3038",0.00414,0,0,0.0014,0,0,0,0,0,0.02402,0.00045,0,0.11556,0.0112,0.00341,0,0.0117,0,0,0.02918,0,0,0,0,0.00267,0.02294,0,0,0.11128,0.01866,0.03269,0.01411,0,0,0,0,0,0.00516,0,0.00414,0,0.00097
"k__Bacteria|p__Firmicutes|c__CFGB3041|o__OFGB3041|f__FGB3041",0,0,0,0.03133,0,0,0,0,0,0,0.08689,0,0,0,0,0,0.04718,0,0,0.03108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3043|o__OFGB3043|f__FGB3043",0,0,0,0,0,0,0,0,0,0,0.00318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047|f__FGB3047",0.00299,0,0,0,0.00081,0.00168,0,0,0,0,0,0,0,0.00538,0.00184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071,0.01009,0.00375,0.00469,0,0,0,0,0,0,0,0.01902,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048",0.03829,0,0,0.00104,0,0.00549,0,0,0,0,0,0,0.01021,0,0.04962,0.04757,0.0074,3e-04,0,0,0,0,0.00249,0,0,0,0.01406,0,0.08439,0,0,0,0,0,0,0,0,0,0,0.01648,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054",0.47278,0,0,0.36532,0,0.00422,0,0,0,0.0279,0.95933,0,0,0.4272,0.05212,0,0.22721,0,0,0.2881,0,0.10984,0,0,0,0,0,0,0.38674,0.12773,0.12208,0,0,0,0,0.46113,0,0,0,0.08562,0.03551,0
"k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057|f__FGB3057",0.01536,0.04127,0.00327,0,0.01024,0,0,0,0.0018,0.04664,0.03895,0,0.03503,0.12253,0.01005,0.00187,0.22603,0,0.08346,0.09495,0.04189,0.08373,0.00236,0,0.01435,0.03356,0.15845,0,0.00728,0.26428,0.00876,0.13674,0,0,0,0.03913,0,0.02214,0.10008,0.00524,0,0.09728
"k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062|f__FGB3062",2.39751,0.00073,0,0.47305,0,0.03049,0,0,0,0,0.06529,0,0,0,0.7659,0.01062,0,0.041,0,0,0,0.0691,0,0,0,0,0,0,0.83904,0.38882,0.19359,0,0.02122,0,0,0,0,0,0,0.6767,0.0289,0
"k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069|f__FGB3069",0.04533,0,0,0.12446,0,0.00348,0,0,0,0,0.10844,0,0.00072,0,0.41546,0,1.30496,0,0,1.07471,0,0.0541,0,0,0,0,0,0,0,0,0,0,0.00147,0,0,0,0,0,0,0.05472,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070",0.00325,0,0,0.01292,0,0,0,0,0,0.00343,0,0,0,0.031,0,0.0163,0.08353,0,0,0.00912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3071|o__OFGB3071|f__FGB3071",0.03582,0,0,0,0,0,0,0,0,0,0.19423,0,0,0,0.02641,0,0,0,0,0,0,0.28273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00738,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072",0.16232,0,0,0.14675,0,0.05144,0,0,0,0.06382,0.54644,0,0.05135,0.38048,0.47354,0.00557,0.2919,0,0,0.56145,0,0.20512,0,0,0,0,0,0,0.11228,0.0518,0.00579,0,0,0,0,0,0,0,0.00061,0.05651,0.00186,0
"k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455|f__FGB31455",2.2985,0,0,0,0,0,0,0,0,0,0.386,0,0,0,0,0,0,0,0,0,0,0.16447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00213,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3172|o__OFGB3172|f__FGB3172",0,0,0,0,0,0,0,0,0,0,0.00677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB32970|o__OFGB32970|f__FGB32970",0.03912,0,0,0.00169,0,0.00079,0,0,0,0,0,0,0,0,0.00447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02373,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3625|o__OFGB3625|f__FGB3625",0,0,0,0,0,0,0,0,0,0.00839,0,0,0,0.1044,0.00275,0,0,0,0.00504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642",0.12839,0.01059,0,1.35706,0.01744,0.28013,0,0,0,0.00339,0.72044,0,0.00992,0.05204,0.03602,0.00823,0.00421,0.01621,0,0.014,0,0.27151,0,0,0,0,0,0,0.44882,0.08339,0.31592,0,0.03331,0,0,0,0,0,1.08703,0.11256,0,0
"k__Bacteria|p__Firmicutes|c__CFGB38703|o__OFGB38703|f__FGB38703",0,0,0,0,0,0,0,0,0,0,0.01095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB38791|o__OFGB38791|f__FGB38791",0.00397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB40183|o__OFGB40183|f__FGB40183",0,0,0,0.00021,0,0,0,0,0,0,0,0,0,0.04999,0,0,0.00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503|f__FGB45503",0.13056,0,0,0.06484,0,0.02823,0,0,0,0.00448,0.0071,0,0,0.06976,0.05953,0,0.04158,0,0,0.03913,0,0,0,0,0,0,0,0,0.07665,0,0,0,0.04741,0,0,0,0,0,0,0.08927,0.00561,0
"k__Bacteria|p__Firmicutes|c__CFGB45555|o__OFGB45555|f__FGB45555",0.70647,0,0,0.34748,0,0.01105,0,0,0,0,0.00865,0,0.0046,0,0.29111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30435,0.05889,0.00634,0,0,0,0,0,0,0,0,0.05485,0,0
