"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1146",0,0,0,0,0,0,0,0,0,0,0.40589,0,0,0,0,3.9386,0,0.67058,0,0,0,0.43452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1148",0.02604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179,0.13844,0,0,0,0,0,0,0,0,0.348,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08959,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella",0.04466,0,0,0.01911,0,0.0057,0.15783,0.08387,0.00098,0.00266,0.00754,0.00259,0.07651,0.00631,0.00482,0.15274,0,0.03016,0.00272,0,0.01502,0.00819,0,0,0,0,0,0,0.19365,3e-04,0.03998,0,0,0.0305,0.4278,0,0,0,0,0.37955,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella",0.0407,0.00745,0,0.62392,0,0.11123,1.55982,5.37946,0,0.05188,0.07015,0,0.03033,0.96846,0.01204,0.01383,1.11988,0,0,0.12921,0,0.11483,0.00085,0,0,0,0,2.68654,0.10118,0.00143,0.31002,0,0.24306,0,0,0.00274,0,0,0.00261,0.64433,1.6688,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07204,0,0.00093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48183,0,0,0,0,0,0,0,9.77534,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella",0.44849,0,0.00326,0,0,0,8.76239,8.62782,0.38912,0,0,0.03275,4.94079,0.01202,0.09698,1.98513,0.10205,4.06214,0,0.00157,0,0,0,5.7426,0,0,0,0,0.04168,0.16033,4.69126,0,1.00127,0,0,0.01644,0,0,0.07072,5.51579,9.17665,0.02542
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes",0.24089,0.18953,0,0.2494,0.17035,0.12006,1.98855,0.56975,0.04398,6.26449,0.07209,0.01355,8.24096,3.81129,0.15807,1.44628,0.84725,0.25958,0.92498,0.49645,0.15907,0.05418,0,0.00281,1.81623,0.38734,0,0,1.98267,0.77793,1.24532,0.00782,0.01966,0.87537,0.06147,0.01596,0.00576,0.15785,0,0.50323,0.0107,0.00127
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB1691",0,0,0,0,0,0,0,0,0,0.01643,0,0,0,0.00568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__GGB1405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12775,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides",0.04515,0.02835,0,0.06371,0.10079,0.01232,0.4942,0.37527,0.00233,0.90279,0.02656,0.00687,2.76819,0.41554,0.22587,0.26014,0.70329,0.02678,0.09221,0.31181,0.15962,0.01045,0.00225,0.68769,0.87034,0.06282,0.14928,0.023,0.4251,0.01685,0.38745,0.01377,0.01751,0.41253,0.22266,0.00538,0.01096,0.12161,0.06785,0.24472,0.01756,0.00092
"k__Bacteria|p__Bacteroidota|c__CFGB11479|o__OFGB11479|f__FGB11479|g__GGB1630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3678,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB1458|o__OFGB1458|f__FGB1458|g__GGB1458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14111,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670|f__FGB1670|g__GGB47687",0,0,0,0.1198,0,0.03213,0,0,0,8e-04,0,0,0,0.04957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146,0.39364,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB4405|o__OFGB4405|f__FGB4405|g__GGB1266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99125,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB544|o__OFGB544|f__FGB544|g__GGB1123",0,0,0,0,0,0,0,0,0,0,0.00641,0,0,0,0,0,0,0,0,0,0,0.00669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB602|o__OFGB602|f__FGB602|g__GGB1420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082,0,0,0,0,0,0,0,0,0,0,0,0,0.07209,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB618|o__OFGB618|f__FGB618|g__GGB1455",0,0,0,0,0,0,0,0,0,0,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB629|o__OFGB629|f__FGB629|g__GGB1495",0,0,0,0.12963,0,0.02173,0.23658,0.30678,0,0,0.1385,0,0,0,0.04989,0.2663,0,0.02435,0,0,0,0.20247,0,0,0,0,0,0,0.02528,0.07204,0.2796,0,0.02869,0.23128,0.35986,0.01069,0,0,0,0,0.10863,0
"k__Bacteria|p__Bacteroidota|c__CFGB629|o__OFGB629|f__FGB629|g__GGB1496",0,0,0,0,0,0,0,0,0,0,0,0,0,0.03544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB658|o__OFGB658|f__FGB658|g__GGB1627",5.07768,0,0,0,0.00102,0.00047,0,0,0,0,0.32227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48813,0,0,0,0.02222,0,0,0,0,0,0,3.67745,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB667|o__OFGB667|f__FGB667|g__GGB1661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__CFGB668|o__OFGB668|f__FGB668|g__GGB1663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2102|o__OFGB2102|f__FGB2102|g__GGB5973",0,0,0,0,0,0,0,0,0,0,0.00091,0,0,0,0,0,0,0,0,0,0,0.00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanoperiomorbia|o__Candidatus_Nanoperiomorbales|f__Candidatus_Nanoperiomorbaceae|g__Candidatus_Nanoperiomorbus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.00089,0,0,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales|f__Candidatus_Nanogingivalaceae|g__Candidatus_Nanogingivalis",0,0,0,0,0,0,0,0,0,0,0,0.00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales|f__Candidatus_Nanogingivalaceae|g__GGB12785",0,0,0,0,0,0,0.00466,0.00134,0.00092,0,0,0.04723,0.00316,0,0,0,0,0.00102,0.00419,0,0.00282,0,0.01501,0,0,0,0.00168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__Candidatus_Saccharibacteria_unclassified",0,0.01077,0.01681,0.00209,0.01443,0.00166,0.00331,0.00117,0.02346,0,0.002,0.23411,0,0.00204,0.00035,0.00091,0.00238,0.02068,0.01125,0.01132,0.03621,0.0126,0.188,0.00445,0,0.00121,0.01132,0,0,0.03675,0.01372,0,0.04581,0,0.00285,0.00554,0.00469,0.00261,0,0,0.06034,0.05222
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__GGB12798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00614,0.00067,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Nanosynbacterales|f__Candidatus_Nanosynbacteraceae|g__Candidatus_Nanosynbacter",0,0,0,0,0,0,0,0,0,0,0,0.00126,0,0,0,0,0,0,0,0,0.00085,0,0.00425,0.00058,0,0,0,0,0,0,0,0,0,0,0,0.01442,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Saccharimonadales|f__Candidatus_Saccharimonadaceae|g__Candidatus_Nanosynsacchari",0,0.00711,0,0,0.01081,0,0,0,0,0,0,0.01141,0.00285,0.00176,9e-05,0,0,0,0,0.00034,0.00153,0,0.01454,0.01998,0,0,0,0,0,0.00526,0.00141,0,0.00147,0,0,0,0,0,3e-04,0,0.0033,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus",0,0,0,0,0,0.00063,0,0,0,0,0.00573,0,0,0,0,0,0,0.00163,0,0,0,0.02902,0.00246,0,0,0,0,0,0,0,0.00023,0.00839,0,0,0,0,0,0.00033,2e-04,0,0.02657,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Calditerricola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella",0.01079,0.0023,0.00273,0.01246,0.00689,0.00082,0.00057,0.0742,0.01033,1.04203,0.05986,0.05188,0,0.03892,0,0.06523,0.05592,0.00268,0.18726,0.00172,0.00133,0.07082,0.04953,0,0,0,0.00605,6.9313,0.05828,0.32537,0.00039,0.00335,0.37709,0.00836,0.02413,0.07198,0,0,0.15909,0.00876,0.1178,0.10813
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Brevibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus",0,0,0,0,0,0.00781,0,0,0,0,0,0,0.00054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03377,0,0.00296,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00915,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella",0.00304,0.00434,0.00432,0.05143,0.0126,0.00408,0.04191,0.05039,0.01445,0,0,0.1104,0,8e-04,0.01217,0,0.00112,0.00486,0.00967,0.00104,0.00182,0.00589,0.05737,5e-04,0,0.00225,0.00721,0.01838,0.00115,0.00344,0.00055,0.01258,0.01259,0.00349,0.00797,0.05722,0,0,0,0,0.04297,0.0394
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus",0,0.118,0.00048,0.00108,0.03548,0,0.02546,0.00899,10.93377,0.62119,0,0,0,0,0,0,0.1011,0,0,0.13693,0.42307,0,0.00634,0.00043,0,0.08002,0.08534,0,1.85151,0.00033,0,1.55279,0.02032,0.03445,0.18651,0.70871,0,0.27176,0.16018,0,0,1.84543
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026,0,0.00349,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructilactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245,0,0,0.03406,0.9767,0.02653,0,0,0,0.00081,0,0,0,0,0,0.00065,0,0,0,0,0,0,0.02111,0,0,0.01039,0.004,0,0.12047
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus",0,0,0.08779,0.00214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64937,0,0,0,0,0,0,0,0,0.02465,0.00803,0.00584,0,0,0,0,0.03658,0,0,0.01199,0,0,0.0092
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus",9e-05,0,0,0,0,0,0.06928,0.24154,0,0,0,0,0.70379,0,0,0,0,0,0.05991,0.00298,0,0,2.04563,0,0,0,0,0,0.01842,0.52746,0.01003,0,0,0.01969,0.00606,0,0,0,0.20372,0.00076,0.04041,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus",0.00129,0,0.01375,0.03406,0,0.00185,0,0,0.09457,0.61249,0,0.02093,3e-04,0.00787,0.01947,0,0.01246,0,0.00079,0.01425,0,0,0,0.0042,0.00603,0.01025,0.03206,0,0.02698,0.07279,0.00844,0.00402,0,0.07431,0.07516,1.42582,0,0.00075,0.95997,0,0,0.14276
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc",0.11889,0.32323,0.004,0.01199,0,0,0.17594,0.00041,0.01283,0,0.00116,0.0051,0,0.00328,0,0.0199,0.01228,0,0.3764,0.30912,0,0.00463,0.01415,0.0181,0.0149,0.241,0.2039,0,0.01987,0.0124,0.2378,0.04334,0.06794,0.0221,0.00337,0.47362,0.03592,0.00478,0.38325,0.03415,0.01088,0.01368
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus",0,0,0,0.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0.16844,0,0,0.78273,13.33583,0.16537,0,25.59745,0,0,0.0256,0,0,0,0.00728,0,0.00856,8.90866,0.93863,0,0,0,0,0,0.00093,0,1.22748,0,5.06369,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus",0,0,0.01097,0,0,0,0.12728,0.07715,0,0,0,0,0.46891,0,0,0.01709,0.58722,0,0.02109,0.21099,0,0,0.00019,0,0,0,0,0,0.00451,0.55502,0.06372,0,0,0.01865,0.00853,0,0,0,0.19893,0,0.14624,0.0054
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus",0,0,0.01139,0.00815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.00088,0.03459,0,0,0,0.00051,0,0,0,0.00677,0,0.04482,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella",0,0.10086,0.11618,0.00816,0.05064,0,0.11487,0,0.1033,0,0.00033,0.01046,0.03168,0,0,0,0.00157,0.08083,0.02288,0,0,0.00619,0.16735,0,0.0036,0.53366,0.17187,0,0.26587,0.37636,0.01087,0.00086,0.03793,4.10594,0.02759,0.40595,0.00148,0.0027,1.44742,0,0.26915,0.09761
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus",0,6e-05,0.01249,0,3.59439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00361,0.00172,0,0,0.01257,0.00339,0,0.01023,0.27,0,0.16327,0.11316,0,0.00749,0.0075,0,0.02695,5.17992,0,0,1.63124,0,0.03944,0.11959
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus",0.00614,0.08675,0.76342,0.14163,0.248,0.26525,20.94757,16.02287,0.86931,0.26919,0.00532,0.92545,0.86929,0.82901,0.03594,0.90496,0.10546,1.06777,4.98358,0.08904,0.10079,0.15412,9.68695,0.14331,0.00337,0.25201,0.15249,2.48704,0.03659,0.9394,0.42589,0.65063,2.87668,0.30086,1.21021,1.82076,0.07459,0.09646,2.99284,0.11613,0.88152,0.36544
"k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011|g__GGB2652",0.05233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00756,0,0,0,0,0,0,0.0085,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011|g__GGB2653",0,0,0,0.00803,0,0.00305,0,0,0,0,0.00627,0,0.00257,0.00282,0,0.01208,0.00114,0.00012,0,0.00851,0,0.00195,0,0.00038,0.02566,0,0,0,0.01134,0.07429,0.02532,0,0,0,0,0,0,0.0444,0.01219,0,0,0.00311
"k__Bacteria|p__Firmicutes|c__CFGB1012|o__OFGB1012|f__FGB1012|g__GGB2657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0.08602,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB10309|o__OFGB10309|f__FGB10309|g__GGB4676",0,0,0,0,0,0,0,0,0,0,0.22494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB10312|o__OFGB10312|f__FGB10312|g__GGB4644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52913,0
"k__Bacteria|p__Firmicutes|c__CFGB10318|o__OFGB10318|f__FGB10318|g__GGB4641",1.07764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22814,0,0
"k__Bacteria|p__Firmicutes|c__CFGB10318|o__OFGB10318|f__FGB10318|g__GGB4658",0,0,0,0,0,0,0,0,0,0,0.00639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0
"k__Bacteria|p__Firmicutes|c__CFGB10318|o__OFGB10318|f__FGB10318|g__GGB4661",0,0,0,0.02887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477|f__FGB10477|g__GGB9345",0.78637,0,0,0.79801,0,0,0,0,0,0,0.42248,0,0,0,0.47118,0,0.01183,0,0,0.12874,0,0.05586,0,0,0,0.00584,0,0,0.16673,0.01512,0.01293,0,0,0,0,0,0,0,0,0.04765,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126|f__FGB1126|g__GGB2848",0,0,0,0,0,0,0,0,0,0.00084,0,0,0.02365,0.00445,0,0,0.0043,0,0,0.00716,0,0,0,0,0,0,0,0,0.00778,0,0,0,0,0,0,0,0,0,0,0,0,0.00022
"k__Bacteria|p__Firmicutes|c__CFGB1201|o__OFGB1201|f__FGB1201|g__GGB2958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5829,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1207|o__OFGB1207|f__FGB1207|g__GGB2964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01073,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211|f__FGB1211|g__GGB2970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217|f__FGB1217|g__GGB2982",0,0,0,0,0.01408,0,0,0,0,0.0039,0.03164,0,0,0.00933,0,0.07726,0.01893,0.00507,0,0.00618,0,0.00101,0,0,0,0,0,0,0.11113,0,0,0.00024,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226|g__GGB2996",0.11757,0,0,0.00387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00047,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226|g__GGB2998",0.22377,0,0,0.01619,0,0,0,0,0,0.01016,0,0,0.03099,0.01725,0.00317,0.0141,0.06294,0.01411,0,0.04402,0,0,0,0,0.02092,0,0,0,0.31444,0.00356,0.00599,0,0.00195,0,0,0,0,0,0,0.01706,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226|g__GGB58485",0.00054,0.00721,0,0.00241,0.0104,0.00334,0.03123,0.00397,0,0,0,0,0,0,0.00133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543,0,0.00695,0,0,0.00762,0,0,0,0.00469,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3000",0,0,0,0,0,0,0,0,0,0,0.07259,0,0.00029,0,0,0,0,0,0,0,0,0.01362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3002",0,0,0,0,0,0,0,0,0,0,0.02371,0,0.00136,0,0,0,0,0,0,0,0,0.00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03529,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3005",0,0.0107,0,0.00294,0.00212,0,0,0,0,0,0.06094,0,0.36449,0.00214,0.02736,0,0,0,0,0,0,0.02943,0,0,0.01425,0.05683,0,0,0,0.73983,0.10225,0,0,0,0,0,0,0,0,0.00149,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1230|o__OFGB1230|f__FGB1230|g__GGB96297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405,0,0,0,0,0,0,0,0,0,0,0,0,0.00584,0,0,0.02863,0,0,0,0,0,0,0,0.00217,0
"k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249|g__GGB3032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02183,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249|g__GGB3033",0,0,0,0,0,0,0,0,0,0,0,0,0,0.04186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00429,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249|g__GGB3034",0,0,0,0,0,0,0,0,0,0,0.00238,0,0,0.06183,0,0,0,0,0,0,0,0.00461,0,0,0,0,0.00187,0,0,0,0,0.01318,0,0,0,0,0,0.0038,0.0666,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1258|o__OFGB1258|f__FGB1258|g__GGB3052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34171,0,0,0,0,0,0,0,0,0,0,0,0,0
