"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239,0,0,0,0,0,0,0.02547,0.00482,0,0,0,0,0,0,0,0.02339,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia",0,0,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01152,0,0,0,0,0,0,0,0,0.00846,0,0,0.00021
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium",0,0,0.00456,0.00279,0.00067,0.00089,0,0,0.00184,0,0,0.00804,0.00194,0.0011,0,0,0.00062,0.00025,0.00258,0.00263,0.00158,0.00051,0.02478,0,0,6e-05,0.00318,0,0,0.00897,0.00346,0.00704,0,0,0.00272,0,0,0,0.00018,0,0,0.009
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia",0.00566,0,0.00081,0.01061,0.03516,0.00666,0.08885,0.23159,0.00121,0,0,0.02204,0,0,0.01581,0.00162,0.00197,2e-04,0.03062,0.00113,0,0,0.01016,0.00067,0,0.00287,0,0,0,0.06987,0.01656,0,0.01171,0.00023,0.03355,0.09375,0,0,0.0357,0.00211,0.07939,0.00543
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Arachnia",0,0,0,0,0.00275,0,0,0,0,0,0,0,0,0.00613,0,0,0,0,0.00185,0.00187,0,0,0.00241,0,0,0,0,0,0,0,0,5e-04,0,0,0,0.02344,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium",0,0,0,0,0,0,0.00153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0,0,0,0.00192,0,0,0.0097,0.00721,0,0,0,0,0,0,0,5e-04,0,0.00187,0.00014
"k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107|g__GGB34797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02691,0.6231,0,0.06937,0,0,0,0,0,0,0,0,0,0,0,0.0032,0.23193,0,1.3622,0,0,0.07113,1.53234,0.2605,0,0,0.48319,0
"k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB9411",0,0,0,0.25977,0,0.22663,0,0,0,0,0,0,0,0,0,1.10688,0,0.0605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24119,0
"k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB9412",0,0,0,0,0,0,0,0,0,0.06058,0,0,0,2.85849,0.01901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279,0.00123,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__CFGB77156|o__OFGB77156|f__FGB77156|g__GGB9421",0,0,0,0.0731,0,0.00969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988|f__FGB77988|g__GGB9359",0,0,0,0,0,0,0,0,0,0.05941,0,0,0,2.06006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23515,0.29823,0.02087,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988|f__FGB77988|g__GGB9361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12455,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988|f__FGB77988|g__GGB9364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18435,0,0,0.60041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Lancefieldella",0,0,0.00607,0,0,0,9e-04,0,0.00271,0,0,0.03347,0,0,0.00893,0.00035,0,0.00137,0.00278,0,0.00126,0,0.00519,0.00649,0,0,0,0,0,0.0244,0.00963,0,0.00831,0,0,0.00413,0,0,0.00304,0,0.0264,0.01186
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella",0,0,0.00089,0,0.00189,0,0,0,0,0,0,0,0.00029,0.00209,0,0,0,0,0.00237,0.00462,0.00816,0.00059,0.00527,0.00855,0,0.00039,0.00013,0,0,0.0066,0.00111,0,0.03752,0,0.00026,0,0,0,0.02011,0,0.00285,0.00239
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Paratractidigestivibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38624,0.23383,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67014,0,0,0.12454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella",3.30935,0,2.05554,0,0.00181,0.00896,1.4369,3.07128,5.5101,0.24736,5.78708,4.18305,0.5769,0.34542,1.02687,1.01228,0.96866,0.71721,0.0364,0.98617,0.8905,3.24925,0,5.11654,4.49071,9.43535,0,0.04085,1.44557,6.77727,0.95734,0,1.19282,0.2576,0.06081,2.23421,0.55047,0.18914,0.40901,3.41959,0,2.41094
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma",0,0,0,0,0,0,0,0,0.00089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__GGB51959",0,0,0,0.02154,0,0.01858,0,0,0,0,0,0,0.00174,0,0.0355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03991,0.04424,0.03493,0,0.03803,0,0,0.1578,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Senegalimassilia",0.34093,0,0,0.35904,0,0.87104,0,0,0.02942,0,0,0.02476,0.23094,0,0.68622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73753,0,0,0.50417,0,0,0.35993,1.89256,0.64739,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia",0.02082,2.43656,0,0.08171,0.96369,0.20082,0.42915,0.05933,0.02759,0.00213,0.14619,0.00041,0.03961,0.4059,0,0.92734,0.3157,0.38556,0,0.62071,0,0.11124,0,0,0,0,0,0,0.00475,0.43329,0.26747,0.977,0.00964,0,0,0.17073,0,0,0,0.01088,0.09969,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Cryptobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078,0,0,0,0,0,0.00924,0,0,0,0,0,0,0,0,0,0,0.00046,0
