"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris|t__SGB15878",0.00152,0,0.01793,0.00253,0,0.0012,0.0567,0.02261,0.00232,0.00103,0,0.01212,0.01083,0,0.07549,0,0,0.00444,0.0241,0.00116,0.01882,0,0.05131,0.00086,0,0.00478,0.0091,0,0.00808,0.11764,0.04944,0.00297,0.00399,0.00036,0.00635,0.00782,0.00182,0.00085,0.01856,0,0.00668,0.04537
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris|t__SGB15881",0,0,0.00153,0,0,0,0,0,0,0,0,0,0.00523,0,0,0,0,0,0.00578,0,0.0012,0,0.00149,0.00289,0,0,0,0,0.00048,0.00654,0.00221,0,0.00369,0,0,0,0,0,0.04772,0,0,0.00137
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17132|t__SGB17132_group",0,0,0.0025,0.00037,0,0,0.00059,0.00075,0.00212,0,0,0.02749,0,0,0.0034,0,0,0.00051,7e-04,0,0.00472,0,0.00884,0,0,0,0,0,0,0.00289,0.002,0,0.00228,0,0,0.0086,0,0.00025,0,0,0.00885,0.00989
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMT897|t__SGB15876",0,0,0,0,0.00235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00211,0,0,0,0,0,0,0.00194,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47|t__SGB17167_group",0,0.00021,0.06935,0.00553,0.00318,0.0021,0.00336,0.00271,0.01045,0,0,0.05906,0.00485,0,0.00421,0.00249,0,0.04548,0.02292,0.00449,0.05057,0.00287,0.12103,0.00676,0,0,0.01186,0,0.00241,0.13045,0.01689,0.02729,0.07776,0,0.00368,0.01153,0,0,0,0.00102,0.06279,0.12013
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448|t__SGB15872",0,0,0.00177,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0.017,0,0.01449,0,0.0049,0.00555,0,0,0,0,0,0.05197,0.0186,0,0.00457,0.00232,0.00276,0,0,0,0.0302,0,0,0.00261
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ph3|t__SGB17137_group",0,0,0.00062,0,0,0,0,0,0.00319,0,0,0.01057,0,0,0.0116,0,0,0,0.01439,0,0.01678,0.00237,0,0,0,0,0,0,0.00102,0.01173,0.00313,0,0.00124,0,0,0.00475,0,0,0.01661,0,0.0015,0.00465
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum|s__Actinotignum_sanguinis|t__SGB33732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__GGB9832|s__GGB9832_SGB15478|t__SGB15478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046,0,0,0,0,0,0,0,4e-05,0,0,0.05255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_SGB15488|t__SGB15488",0,0,0,0,0,0,0,0,0,0,0,0,0.00435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_hongkongensis|t__SGB17148",0,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0.00058,0,0,0,0.00753,0,0.02231,0,0.00015,0.00037,0,0,0,0,0,0.01494,0.00368,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Peptidiphaga|s__Peptidiphaga_gingivicola|t__SGB15894",0,0,0,0,0,0,0,0,0,0,0,0,0.0139,0.00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01011,0.00723,0,0.00418,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Peptidiphaga|s__Peptidiphaga_SGB15895|t__SGB15895",0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0.00495,0,0,0,0,0,0,0,0,0.00033,0,0,0.00159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_cardiffensis|t__SGB17147",0,0,0,0,0.00093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189,0,0,0,0,0,0.00929,0.00058,0,0,0.00014,0.00227,0,0,0,0.00167,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_georgiae|t__SGB17149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218,0,0,0,0,0,0,0,0,0.00124,0,0,0,0,0,0.00059,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_meyeri|t__SGB17151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00321,0,0,0,0,0,0.00115,0,0.0144,0.00153,0,0,0.00127,0,0.00317,0.01192,0.00208,0,0,0,0,0,0,0,0,0,0.00431,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_odontolytica|t__SGB17161_group",0.00197,0,0.002,0.00185,0,0,0.032,0.00999,0,0,0.0053,0,0,0,0.01074,0.00062,0,0.01245,0,0.00248,0,0.01018,0,0,0,0,0,0,0.04264,0.01608,0.00239,0,0,0,0,0.00377,0,0.00037,0,0,0.03019,0.00348
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_odontolytica|t__SGB17169",0.00212,0,0.00036,0.0288,0,0.02055,0.00134,0,0,0,0,0.01354,0.00357,0,0.1478,0,0.0055,0,0,0.01951,0,0,0,0.00215,0.00314,0.02318,0,0,0.00883,0.27932,0.0461,0,0,0,0,0,0,0,0,0.01088,0.03245,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_SGB17153|t__SGB17153",0,0,0,0,0,0,0,0,0,0,0,0,0.02545,0,0,0,0,0,0.0915,0,0.04322,0,0,0,0,0,0,0,0.00974,0.07417,0.01811,0,0.00119,0,0,0,0,0,0.12294,0,0.00723,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_SGB17154|t__SGB17154",0,0,0.02735,0.00365,0,0.00157,0,0,0,0,0,0,0,0,0,0.01324,0,0.01098,0.00598,0,0.00643,0,0,0,0,0,0,0,0,0.14405,0.02401,0,0.00862,0,0,0,0,0,0,0,0.05916,0.01242
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_SGB17157|t__SGB17157",0.02157,0,0.00765,0,0,0,0.00104,0.00061,0.00106,0.00104,0,0.00597,0,0.00461,0,0,0.0042,0,0,0.00445,0,0,0.16276,0,0,0.00076,0.01387,0,0.00116,0,0,0,0.00987,0.00333,0.01129,0.00258,0,0,0,0.00899,0.03426,0.04325
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_SGB17158|t__SGB17158_group",0,0.00168,0.00159,0,0.00483,0,0,0,0,0,0,0.00316,0,0,0.01404,0,0.00104,0,0,0.00391,0,0,0,0,0,0.00956,0,0,0,0.0028,0,0.00105,0.00699,0,0,0.01571,0.00142,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_SGB17168|t__SGB17168",0.02158,0,0.00843,0,0,0,0.01461,0.01426,0.00353,0,0.00272,0.04319,0,0,0,0,0,0,0,0.00163,0,0.00629,0.29049,0.00019,0,0,0.01602,0,0,0.00208,0,0,0,0.0047,0.03084,0.00965,0,0,0,0.01285,0.06532,0.11542
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_turicensis|t__SGB17195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02628,0,0,0,0,0,0,0,0,0,0,0,0.00461,0,0.00852,0,0,0.74012,0,0,0,0,0,0.00506,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens|t__SGB17300",0,0,0.00068,0,0,0.00061,0,0,0.00645,0,0,0.0079,0,0,0.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02714,0.00024,0,0.00095,0,0,0,0,0,0.02895,0,1e-04,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__SGB17244",12.3061,0,33.05874,3.76113,0.0114,3.71651,0,0,0,0.10409,0,0,0,4.10042,0.34081,2.22903,7.63262,0.6867,1.38298,17.89044,0.18614,0,0,0,10.54978,10.62762,0,0,0,1.93381,1.0846,0,3.46392,0.72176,0,0.29528,0,0,0,1.14502,3.75011,3.7577
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__SGB17278",0.98116,0,0,0.01683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503,0.24938,0.00175,0,0,0.01602,0,0,0.33749,0,0,0,0,0,0,0,0,0,0.00617,0,0,0.0039,0,0,0.01175
